"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","115 - ONE HUNDRED FIFTEEN","355","840","95","22","27","1339","1566","99","1665"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","204 - TWO HUNDRED FOUR","537","860","120","78","42","1637","2117","276","2393"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","206 - TWO HUNDRED SIX","301","470","89","141","20","1021","1355","240","1595"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","207 - TWO HUNDRED SEVEN","747","1193","154","65","43","2202","2567","349","2916"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","208 - TWO HUNDRED EIGHT","777","1258","164","82","55","2336","2812","327","3139"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","213 - TWO HUNDRED THIRTEEN","473","1065","136","308","56","2038","2987","469","3456"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","214 - TWO HUNDRED FOURTEEN","219","638","65","631","27","1580","2069","442","2511"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","215 - TWO HUNDRED FIFTEEN","778","1316","196","189","52","2531","3213","367","3580"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","216 - TWO HUNDRED SIXTEEN","90","287","13","73","9","472","720","133","853"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","301 - THREE HUNDRED ONE","310","440","81","46","20","897","1496","172","1668"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","302 - THREE HUNDRED TWO","468","449","81","33","21","1052","1477","173","1650"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","303 - THREE HUNDRED THREE","375","498","52","13","15","953","1217","97","1314"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","304 - THREE HUNDRED FOUR","566","843","119","40","31","1599","2312","208","2520"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","305 - THREE HUNDRED FIVE","589","814","110","64","39","1616","2250","270","2520"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","306 - THREE HUNDRED SIX","222","393","64","190","6","875","1452","356","1808"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","307 - THREE HUNDRED SEVEN","1502","1084","219","54","44","2903","3498","232","3730"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","308 - THREE HUNDRED EIGHT","715","631","108","27","27","1508","1807","129","1936"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","309 - THREE HUNDRED NINE","346","309","61","24","15","755","951","130","1081"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","310 - THREE HUNDRED TEN","41","254","14","22","8","339","943","129","1072"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","311 - THREE HUNDRED ELEVEN","185","359","35","86","18","683","882","90","972"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","402 - FOUR HUNDRED TWO","1104","1553","237","32","50","2976","3360","178","3538"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","404 - FOUR HUNDRED FOUR","544","982","155","65","39","1785","2433","254","2687"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","409 - FOUR HUNDRED NINE","606","867","212","15","27","1727","1968","90","2058"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","410 - FOUR HUNDRED TEN","546","909","158","37","16","1666","2247","219","2466"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","412 - FOUR HUNDRED TWELVE","662","1023","144","90","54","1973","2666","332","2998"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","413 - FOUR HUNDRED THIRTEEN","682","802","153","14","27","1678","1909","98","2007"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","414 - FOUR HUNDRED FOURTEEN","735","925","171","30","29","1890","2116","94","2210"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","415 - FOUR HUNDRED FIFTEEN","591","814","192","34","27","1658","2008","193","2201"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","501 - FIVE HUNDRED ONE","738","1170","149","81","46","2184","2636","221","2857"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","503 - FIVE HUNDRED THREE","635","1099","238","68","39","2079","2696","226","2922"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","504 - FIVE HUNDRED FOUR","635","1303","163","207","51","2359","3140","467","3607"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","505 - FIVE HUNDRED FIVE","294","766","68","324","43","1495","2022","306","2328"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","508 - FIVE HUNDRED EIGHT","267","652","81","38","27","1065","1282","116","1398"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","509 - FIVE HUNDRED NINE","397","663","88","49","20","1217","2059","293","2352"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","510 - FIVE HUNDRED TEN","564","972","198","90","33","1857","2623","259","2882"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","602 - SIX HUNDRED TWO","194","546","74","56","14","884","2248","284","2532"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","603 - SIX HUNDRED THREE","311","555","61","37","8","972","1527","165","1692"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","604 - SIX HUNDRED FOUR","283","675","72","36","19","1085","1726","199","1925"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","606 - SIX HUNDRED SIX","631","872","116","54","26","1699","2559","243","2802"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","607 - SIX HUNDRED SEVEN","513","790","169","152","33","1657","2378","542","2920"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","609 - SIX HUNDRED NINE","507","1034","136","167","51","1895","2782","523","3305"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","610 - SIX HUNDRED TEN","286","508","70","38","12","914","1944","221","2165"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","611 - SIX HUNDRED ELEVEN","434","788","135","122","25","1504","2125","342","2467"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","701 - SEVEN HUNDRED ONE","185","526","41","32","19","803","1694","339","2033"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","702 - SEVEN HUNDRED TWO","408","813","93","64","26","1404","2141","262","2403"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","703 - SEVEN HUNDRED THREE","492","1031","127","65","33","1748","2435","230","2665"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","705 - SEVEN HUNDRED FIVE","515","857","104","66","20","1562","1990","221","2211"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","706 - SEVEN HUNDRED SIX","674","1325","154","93","36","2282","3316","425","3741"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","707 - SEVEN HUNDRED SEVEN","1058","1498","248","86","75","2965","3652","422","4074"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","708 - SEVEN HUNDRED EIGHT","318","798","88","106","40","1350","1960","442","2402"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","709 - SEVEN HUNDRED NINE","298","584","84","116","32","1114","1534","268","1802"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","802 - EIGHT HUNDRED TWO","350","657","74","49","17","1147","1874","210","2084"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","806 - EIGHT HUNDRED SIX","629","593","82","45","12","1361","2424","279","2703"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","810 - EIGHT HUNDRED TEN","422","511","57","46","20","1056","1729","209","1938"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","811 - EIGHT HUNDRED ELEVEN","400","767","93","79","34","1373","2438","327","2765"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","812 - EIGHT HUNDRED TWELVE","840","948","118","44","27","1977","2901","191","3092"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","814 - EIGHT HUNDRED FOURTEEN","449","387","51","25","8","920","1424","121","1545"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","902 - NINE HUNDRED TWO","162","260","30","24","3","479","846","135","981"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","903 - NINE HUNDRED THREE","512","656","103","58","9","1338","2227","223","2450"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","908 - NINE HUNDRED EIGHT","418","718","136","87","45","1404","2253","316","2569"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","909 - NINE HUNDRED NINE","489","769","125","59","21","1463","2206","303","2509"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","910 - NINE HUNDRED TEN","521","635","110","76","15","1357","2140","211","2351"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","911 - NINE HUNDRED ELEVEN","534","598","83","24","6","1245","1852","141","1993"
"2024 November General","11/05/2024 00:00:00","RICHMOND CITY","RICHMOND CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","101 - PRECINCT 1-1","407","398","27","12","","844","1223","37","1260"
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","201 - PRECINCT 2-1","320","344","18","15","","697","938","37","975"
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","301 - PRECINCT 3-1","459","337","48","19","","863","1138","38","1176"
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","401 - PRECINCT 4-1","352","504","37","17","","910","1213","39","1252"
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","501 - PRECINCT 5-1","322","525","15","7","","869","1120","41","1161"
"2024 November General","11/05/2024 00:00:00","RICHMOND COUNTY","RICHMOND COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","001 -Peters Creek","948","747","208","49","3","1955","3010","370","3380"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","002 - Grandview","757","836","176","38","3","1810","2769","282","3051"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","003 -Preston Park","741","1012","179","89","3","2024","2946","257","3203"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","004 - Williamson Road","774","1006","163","46","7","1996","2926","276","3202"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","005 - East Gate","1075","1082","207","66","10","2440","3382","261","3643"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","006 - Hollins Road","791","838","203","63","9","1904","3292","428","3720"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","007 - Southeast","573","1016","172","89","9","1859","3033","376","3409"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","008 - Lincoln Terrace","599","632","165","48","9","1453","2873","380","3253"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","009 - Highland","835","1044","187","115","18","2199","3645","810","4455"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","010 - Old Southwest-Wasena","1026","1161","236","66","11","2500","3385","404","3789"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","011 - RALEIGH COURT","1234","1140","268","68","7","2717","3281","277","3558"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","012 - SOUTH ROANOKE","1009","831","320","37","13","2210","2626","178","2804"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","013 - GARDEN CITY","814","1152","179","60","10","2215","3134","246","3380"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","014 - Crystal Spring","1137","998","268","62","15","2480","3118","375","3493"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","015 - Grandin Court","974","989","251","30","14","2258","2691","208","2899"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","016 - Deyerle","1069","974","397","27","4","2471","2848","158","3006"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","017 - LEE-HI","965","1321","316","89","10","2701","3581","324","3905"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","018 - Summit Hills","873","876","183","52","8","1992","2781","206","2987"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","019 - Forest Park","698","799","186","75","3","1761","3361","447","3808"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","020 - EUREKA PARK","885","703","202","55","3","1848","3115","294","3409"
"2024 November General","11/05/2024 00:00:00","ROANOKE CITY","ROANOKE CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","101 - CATAWBA","546","1427","120","42","4","2139","2652","116","2768"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","102 - RICHFIELD","650","950","201","26","6","1833","2302","111","2413"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","103 - NORTH GLENVAR","547","1109","161","23","3","1843","2201","85","2286"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","104 - NORTHSIDE","784","958","172","48","9","1971","2462","122","2584"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","105 - HANGING ROCK","851","994","178","23","2","2048","2575","140","2715"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","106 - SOUTH GLENVAR","374","547","94","20","3","1038","1271","51","1322"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","107 - FORT LEWIS","553","505","189","18","8","1273","1494","50","1544"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","201 - PLANTATION","588","959","207","30","6","1790","2287","120","2407"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","202 - BURLINGTON","342","752","110","34","9","1247","1767","154","1921"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","203 - MOUNTAIN VIEW","1106","1256","216","51","6","2635","3237","120","3357"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","204 - GREEN RIDGE","817","888","175","24","6","1910","2403","129","2532"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","205 - ORCHARDS","1341","856","246","36","12","2491","2910","153","3063"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","206 - HOLLINS","291","579","84","61","6","1021","1318","198","1516"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","301 - BENT MOUNTAIN","155","425","30","6","","616","723","21","744"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","302 - BACK CREEK","1360","982","278","23","8","2651","3148","133","3281"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","303 - WINDSOR HILLS","867","789","123","31","3","1813","2378","250","2628"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","304 - OAK GROVE","1132","623","239","31","5","2030","2372","131","2503"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","305 - EAST HIDDEN VALLEY","1064","467","192","22","6","1751","2062","116","2178"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","306 - GARST MILL","1003","488","166","36","10","1703","2121","162","2283"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","307 - WEST HIDDEN VALLEY","828","497","207","20","7","1559","1870","101","1971"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","401 - BONSACK","621","468","91","13","7","1200","1420","45","1465"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","402 - NORTH LINDENWOOD","1130","545","130","20","1","1826","2226","105","2331"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","403 - NORTH VINTON","859","917","112","70","5","1963","2719","158","2877"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","404 - SOUTH VINTON","916","787","140","52","3","1898","2625","147","2772"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","405 - SOUTH LINDENWOOD","913","558","136","24","2","1633","1999","65","2064"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","406 - MOUNT PLEASANT","965","1118","135","47","9","2274","2862","92","2954"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","501 - STARKEY","768","630","174","29","13","1614","1893","109","2002"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","502 - WEST CAVE SPRING","842","571","145","20","2","1580","1891","100","1991"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","503 - EAST CAVE SPRING","812","728","148","23","1","1712","2094","116","2210"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","504 - GREEN VALLEY","1028","1152","189","75","6","2450","3301","407","3708"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","505 - CLEARBROOK","466","647","96","35","2","1246","1595","84","1679"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","506 - BUCK MOUNTAIN","206","185","44","8","2","445","525","33","558"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","507 - HUNTING HILLS","1190","831","250","44","14","2329","2896","214","3110"
"2024 November General","11/05/2024 00:00:00","ROANOKE COUNTY","ROANOKE COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","101 - AIRPORT","767","478","126","18","10","1399","1706","43","1749"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","102 - BEN SALEM","205","293","24","10","1","533","660","18","678"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","103 - PLANK ROAD","152","259","24","10","1","446","553","12","565"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","104 - EFFINGER","195","282","18","3","","498","606","20","626"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","201 - COLLIERSTOWN","243","274","27","9","","553","646","31","677"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","202 - HIGHLAND BELLE","709","806","84","36","3","1638","2040","81","2121"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","203 - VO-TECH","149","118","19","20","1","307","489","51","540"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","301 - MAURY RIVER","353","559","38","17","1","968","1315","58","1373"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","302 - NATURAL BRIDGE","222","541","31","12","","806","1148","29","1177"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","303 - FALLING SPRING","141","238","26","5","","410","521","19","540"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","401 - FAIRFIELD","271","546","42","11","","870","1094","35","1129"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","402 - MOUNTAIN VIEW","494","727","82","22","3","1328","1726","48","1774"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","403 - VESUVIUS","85","287","27","13","2","414","557","20","577"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","501 - GOSHEN","49","359","25","13","2","448","592","25","617"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","502 - MEADOWVIEW","360","437","52","10","","859","1126","57","1183"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","503 - ROCKBRIDGE BATHS","147","333","25","5","1","511","615","15","630"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","504 - ROCKBRIDGE","294","539","66","6","","905","1080","32","1112"
"2024 November General","11/05/2024 00:00:00","ROCKBRIDGE COUNTY","ROCKBRIDGE COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","101 - BROADWAY","605","1496","98","48","110","2357","2879","147","3026"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","102 - TIMBERVILLE","264","954","64","35","67","1384","1810","91","1901"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","103 - FULKS RUN","245","944","37","22","44","1292","1572","42","1614"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","104 - BERGTON","50","355","15","5","16","441","502","20","522"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","105 - LACEY SPRING","524","1237","77","29","80","1947","2336","77","2413"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","106 - LONE PINE","499","1117","78","19","83","1796","2135","72","2207"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","201 - SINGERS GLEN","444","895","42","25","46","1452","1696","38","1734"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","202 - EDOM","832","1332","105","60","124","2453","3030","142","3172"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","203 - DAYTON","264","612","48","9","54","987","1129","99","1228"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","204 - MT CLINTON","557","922","59","31","63","1632","1913","48","1961"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","205 - SILVER LAKE","943","1104","132","60","143","2382","2895","91","2986"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","301 - KEEZLETOWN","291","645","43","24","47","1050","1263","51","1314"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","302 - PORT REPUBLIC","363","713","70","16","77","1239","1339","39","1378"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","303 - MELROSE","319","476","50","12","52","909","1062","30","1092"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","304 - GROTTOES","349","1288","90","43","96","1866","2242","108","2350"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","305 - MASSANETTA SPRINGS","1157","1361","197","160","213","3088","3619","219","3838"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","306 - CROSSROADS","1228","1051","295","50","314","2938","3084","92","3176"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","401 - WEST BRIDGEWATER","414","755","80","21","87","1357","1525","57","1582"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","402 - MONTEZUMA","514","879","86","16","92","1587","1777","35","1812"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","403 - MT CRAWFORD","56","169","9","6","10","250","300","16","316"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","404 - NORTH RIVER","752","1053","138","176","152","2271","2822","166","2988"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","405 - OTTOBINE","356","1212","79","43","83","1773","2068","60","2128"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","406 - EAST BRIDGEWATER","689","925","203","105","213","2135","2332","130","2462"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","501 - ELKTON","352","1258","102","36","114","1862","2172","125","2297"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","502 - SWIFT RUN","544","1706","88","45","93","2476","2982","111","3093"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","503 - MCGAHEYSVILLE","713","1349","112","37","127","2338","2704","92","2796"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","504 - SOUTH FORK","271","745","56","17","61","1150","1361","39","1400"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","505 - STONY RUN","597","829","151","23","167","1767","1995","152","2147"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","506 - DEEP RUN","195","691","58","10","61","1015","1270","63","1333"
"2024 November General","11/05/2024 00:00:00","ROCKINGHAM COUNTY","ROCKINGHAM COUNTY PROVISIONALS","","","","0","","0","","",""
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","101 - MOCCASIN","397","565","59","9","4","1034","1379","32","1411"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","102 - COPPER CREEK","244","476","42","11","2","775","1049","26","1075"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","103 - SOUTH CASTLEWOOD","139","394","38","12","","583","822","32","854"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","201 - NORTH CASTLEWOOD","502","1036","100","26","6","1670","2408","75","2483"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","202 - DANTE","53","230","9","9","","301","529","19","548"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","301 - COOKS MILL","80","220","10","5","1","316","447","10","457"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","302 - DAUGHERTY","138","238","17","3","","396","513","7","520"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","303 - NEW GARDEN","281","583","41","22","5","932","1362","33","1395"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","304 - CLEVELAND","163","367","20","11","1","562","766","37","803"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","401 - DRILL","14","82","5","2","","103","159","8","167"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","402 - SWORDS CREEK","388","943","53","30","3","1417","1968","41","2009"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","403 - HONAKER","167","426","25","7","2","627","968","36","1004"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","501 - WEST LEBANON","1127","1021","146","27","10","2331","3180","112","3292"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","601 -  EAST LEBANON","509","572","51","12","2","1146","1519","48","1567"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","602 - ELK GARDEN","532","880","57","21","5","1495","1918","48","1966"
"2024 November General","11/05/2024 00:00:00","RUSSELL COUNTY","RUSSELL COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","SALEM CITY","001 - NORTH SALEM NO 2","1035","408","151","104","8","1706","2062","286","2348"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","002 - CONEHURST","384","428","67","14","1","894","1274","100","1374"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","003 - BEVERLY HEIGHTS","487","297","68","12","2","866","1060","49","1109"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","004 - WEST SALEM","769","432","101","15","4","1321","1601","99","1700"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","005 - NORTH SALEM NO 1","958","709","130","29","5","1831","2313","169","2482"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","006 - SOUTH SALEM NO 1","472","458","84","14","2","1030","1386","93","1479"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","007 - SOUTH SALEM NO 2","562","506","95","17","4","1184","1617","120","1737"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","008 - EAST SALEM","219","276","68","16","","579","835","67","902"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","009 - SOUTH SIDE HILLS","1046","608","166","22","6","1848","2312","133","2445"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","010 - HIDDEN VALLEY","1094","653","233","33","3","2016","2562","233","2795"
"2024 November General","11/05/2024 00:00:00","SALEM CITY","SALEM CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","101 - WEBER CITY","351","351","39","11","","752","1118","66","1184"
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","102 - YUMA","396","590","42","13","","1041","1427","38","1465"
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","202 - WEBER CITY EAST","414","256","31","18","","719","1022","37","1059"
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","203 - HILTONS","379","542","33","17","1","972","1334","49","1383"
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","204 - CLARK'S","59","183","8","5","","255","360","12","372"
"2024 November General","11/05/2024 00:00:00","SCOTT COUNTY","301 - NICKELSVILLE","212","488","23","14","","737","1034","42","1076"
